Sureness Threshold,Number of steps,Batch Size,C,gamma,PCA,Train Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy
0.6,3401,200,1,-0.01,FALSE,33.07%,32.00%,28.37%,55.07%,8.94%,32.00%
0,3401,200,1,-0.031623,FALSE,34.04%,34.18%,31.15%,2.66%,65.70%,34.18%
0.2,3401,200,1,-0.031623,FALSE,23.36%,21.62%,14.68%,22.22%,21.01%,21.62%
0.4,3401,200,1,-0.031623,FALSE,32.27%,32.85%,30.36%,4.11%,61.59%,32.85%
0.6,3401,200,1,-0.031623,FALSE,25.34%,25.85%,21.03%,17.15%,34.54%,25.85%
0,3401,200,1,-0.1,FALSE,79.44%,78.62%,82.94%,71.26%,86.71%,78.99%
0.2,3401,200,1,-0.1,FALSE,78.55%,77.42%,81.55%,83.82%,71.74%,77.78%
0.4,3401,200,1,-0.1,FALSE,78.11%,73.43%,83.13%,80.19%,67.39%,73.79%
0.6,3401,200,1,-0.1,FALSE,79.76%,80.92%,84.72%,85.51%,77.05%,81.28%
0,3401,200,1,-0.316228,FALSE,78.76%,79.47%,84.92%,85.27%,74.40%,79.83%
0.2,3401,200,1,-0.316228,FALSE,80.80%,80.43%,87.30%,86.71%,74.88%,80.80%
0.4,3401,200,1,-0.316228,FALSE,81.53%,79.47%,84.72%,82.61%,77.05%,79.83%
0.6,3401,200,1,-0.316228,FALSE,78.76%,79.95%,80.95%,80.43%,80.19%,80.31%
0,3401,200,1,-1,FALSE,78.29%,75.48%,80.95%,75.60%,78.99%,77.29%
0.2,3401,200,1,-1,FALSE,77.08%,79.47%,83.13%,85.75%,76.09%,80.92%
0.4,3401,200,1,-1,FALSE,77.99%,77.42%,88.69%,78.50%,79.71%,79.11%
0.6,3401,200,1,-1,FALSE,77.23%,75.24%,80.16%,73.67%,79.47%,76.57%
0,3401,200,3.162278,-0.01,FALSE,52.83%,52.90%,52.98%,98.79%,7.00%,52.90%
0.2,3401,200,3.162278,-0.01,FALSE,54.19%,53.02%,52.98%,7.73%,98.31%,53.02%
0.4,3401,200,3.162278,-0.01,FALSE,73.19%,71.74%,75.40%,85.02%,58.45%,71.74%
0.6,3401,200,3.162278,-0.01,FALSE,67.64%,68.36%,71.83%,53.86%,82.85%,68.36%
0,3401,200,3.162278,-0.031623,FALSE,70.32%,69.69%,75.20%,53.14%,86.23%,69.69%
0.2,3401,200,3.162278,-0.031623,FALSE,70.27%,71.01%,77.78%,62.32%,79.71%,71.01%
0.4,3401,200,3.162278,-0.031623,FALSE,74.25%,74.28%,81.55%,78.99%,69.57%,74.28%
0.6,3401,200,3.162278,-0.031623,FALSE,77.35%,75.24%,83.93%,84.54%,65.94%,75.24%
0,3401,200,3.162278,-0.1,FALSE,79.53%,77.90%,84.92%,78.50%,78.02%,78.26%
0.2,3401,200,3.162278,-0.1,FALSE,79.26%,76.21%,77.38%,87.68%,65.46%,76.57%
0.4,3401,200,3.162278,-0.1,FALSE,78.58%,76.45%,81.35%,72.95%,80.68%,76.81%
0.6,3401,200,3.162278,-0.1,FALSE,80.83%,78.99%,84.33%,83.09%,75.60%,79.35%
0,3401,200,3.162278,-0.316228,FALSE,79.23%,77.66%,83.93%,85.27%,70.77%,78.02%
0.2,3401,200,3.162278,-0.316228,FALSE,81.42%,77.78%,87.50%,74.64%,80.92%,77.78%
0.4,3401,200,3.162278,-0.316228,FALSE,79.17%,75.72%,78.77%,78.26%,73.91%,76.09%
0.6,3401,200,3.162278,-0.316228,FALSE,79.44%,77.54%,84.33%,80.19%,75.60%,77.90%
0,3401,200,3.162278,-1,FALSE,78.85%,76.09%,84.33%,75.60%,80.92%,78.26%
0.2,3401,200,3.162278,-1,FALSE,78.61%,75.12%,82.34%,74.15%,80.19%,77.17%
0.4,3401,200,3.162278,-1,FALSE,75.87%,74.88%,81.94%,79.71%,71.98%,75.85%
0.6,3401,200,3.162278,-1,FALSE,80.62%,80.07%,81.75%,83.82%,78.02%,80.92%
 0.600000, 3401, 200, 1.000000, -0.100000, True,24.631268%, 26.449275%, 21.031746%,10.386473%, 43.236715%, 26.811594%,
 0.600000, 3401, 200, 1.000000, -0.100000, False,79.734513%, 76.932367%, 81.944444%,84.782609%, 69.806763%, 77.294686%,
 0.600000, 3401, 200, 1.000000, -1.000000, True,77.404130%, 77.173913%, 80.555556%,76.086957%, 80.434783%, 78.260870%,
 0.600000, 3401, 200, 1.000000, -2.000000, True,73.569322%, 72.705314%, 77.976190%,73.429952%, 77.536232%, 75.483092%,
 0.600000, 3401, 200, 1.000000, -10.000000, True,35.811209%, 29.347826%, 35.912698%,42.028986%, 41.787440%, 41.908213%,
 0.600000, 3401, 200, 1.000000, -3.000000, True,69.705015%, 68.115942%, 80.158730%,71.980676%, 74.154589%, 73.067633%,
 0.600000, 3401, 200, 1.000000, -2.000000, True,74.542773%, 73.550725%, 81.150794%,76.811594%, 74.879227%, 75.845411%,
